duration,src_bytes,dst_bytes,count,protocol_type_icmp,protocol_type_tcp,label
0.0,215.0,45076.0,1.0,0.0,1.0,benign
0.0,162.0,4528.0,2.0,0.0,1.0,benign
0.0,230.0,1280.0,1.0,0.0,1.0,benign
0.0,180.0,900.0,1.0,0.0,1.0,benign
0.0,190.0,1100.0,1.0,0.0,1.0,benign
0.0,200.0,1500.0,1.0,0.0,1.0,benign
0.0,210.0,1400.0,1.0,0.0,1.0,benign
0.0,220.0,1600.0,1.0,0.0,1.0,benign
0.0,0.0,0.0,120.0,0.0,1.0,dos
0.0,0.0,0.0,240.0,0.0,1.0,dos
0.0,0.0,0.0,180.0,0.0,1.0,dos
0.0,0.0,0.0,300.0,0.0,1.0,dos
0.0,0.0,0.0,150.0,0.0,1.0,dos
0.0,0.0,0.0,200.0,0.0,1.0,dos
0.0,0.0,0.0,220.0,0.0,1.0,dos
0.0,0.0,0.0,250.0,0.0,1.0,dos
0.0,1.0,0.0,1.0,1.0,0.0,probe
0.0,1.0,0.0,2.0,1.0,0.0,probe
0.0,1.0,0.0,3.0,1.0,0.0,probe
0.0,1.0,0.0,4.0,1.0,0.0,probe
0.0,1.0,0.0,5.0,1.0,0.0,probe
0.0,1.0,0.0,6.0,1.0,0.0,probe
0.1,10.0,0.0,1.0,0.0,1.0,r2l
0.1,12.0,0.0,1.0,0.0,1.0,r2l
0.1,14.0,0.0,1.0,0.0,1.0,r2l
0.1,16.0,0.0,1.0,0.0,1.0,r2l
0.2,50.0,100.0,1.0,0.0,1.0,u2r
0.2,60.0,120.0,1.0,0.0,1.0,u2r
0.2,70.0,140.0,1.0,0.0,1.0,u2r
0.2,80.0,160.0,1.0,0.0,1.0,u2r
